,id,country,title,title_length,category,tag_num,duration,duration_secs,views,likes,dislikes,comment_count
53,fF060WS4Alo,US,Megan Thee Stallion & Beyoncé Win Best Rap Song | 2021 GRAMMY Awards Show Acceptance Speech,91,10,19,PT4M32S,272.0,2641430,85628,5665,7875
54,raLj2Akmktg,US,"Lil Durk, King Von & Booka600 ft. Memo600 - JUMP (Official Video)",65,10,14,PT3M4S,184.0,798547,75211,724,7597
55,zK3PQ_KY_0s,US,Lil Baby - “The Bigger Picture” (Live From The 63rd GRAMMYs ® / 2021),69,10,18,PT4M3S,243.0,769803,54372,2918,4810
56,_d4yW6Lz_1o,US,"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [LIVE from the 63rd GRAMMYs ® 2021]",96,10,20,PT4M16S,256.0,1624829,121231,564,9247
57,nNBDjJosK74,US,Post Malone - Hollywood's Bleeding (Live From The 63rd GRAMMYs ® / 2021),72,10,6,PT3M6S,186.0,825209,77875,732,5205
58,ojGHE581lsM,US,Marvel Studios' The Falcon and The Winter Soldier | Final Trailer | Disney+,75,24,19,PT1M59S,119.0,2311199,142940,1141,7775
59,DuQbOQwVaNE,US,"Offering People $100,000 To Quit Their Job",42,24,0,PT11M17S,677.0,25789545,1447565,16966,80173
60,LALR0ovhVks,US,At Home With Kim Kardashian - The End of An Era | Good Morning Vogue,68,24,18,PT17M49S,1069.0,1136044,48304,1310,2524
61,49LcXmSr8O8,US,I played weird virtual pet games,32,1,4,PT11M20S,680.0,2720444,291314,1400,29391
62,PucU3hge_L4,US,Nba YoungBoy - I Ain’t Scared,29,10,0,PT2M43S,163.0,3698766,249614,3357,28168
63,ruXsFuYY6Fk,US,the kid who said he could skate,31,23,19,PT2M3S,123.0,647418,69354,274,3158
64,CQea4n2wbEw,US,Chivas vs. América  0-3 | Highlights & Goals | Telemundo Deportes,65,17,21,PT11M10S,670.0,213461,2148,199,371
65,ZrdQSAX2kyw,US,Zack Snyder’s Justice League | Official Trailer #2 | HBO Max,60,1,25,PT2M29S,149.0,4026018,145195,2555,16321
66,LHFhnnTWMgI,US,I Cooked a Chicken by Slapping It,33,28,9,PT13M17S,797.0,2184515,114918,2781,8585
67,p_4M4TKTydM,US,KSI – Patience (feat. YUNGBLUD & Polo G) [Official Video],57,10,28,PT3M10S,190.0,1997959,281341,7385,25855
68,ctRLLwPwwsA,US,Valkyrae x Natsumiii x Lilypichu  - Last Cup of Coffee ♫ Cover,62,20,3,PT1M13S,73.0,892017,127498,445,8457
69,qcGgPlepbw8,US,"🔴 Live: Grammys 2021 Red Carpet | March 14th, 6:30PM ET | PEOPLE",64,24,32,PT1H2M30S,3750.0,3959800,104244,7356,4170
70,13f6sbj4Sr8,US,Every Retail Job Ever,21,23,5,PT8M3S,483.0,406764,27487,292,1793
71,4SLBA0kBjhc,US,"BTS Feeling ""Dynamite"" at 2021 GRAMMY Awards | E! Red Carpet & Award Shows",74,24,29,PT4M19S,259.0,2716788,238496,3157,17576
72,i_lYq6VQ48s,US,DOOM Eternal: The Ancient Gods – Part Two | Official Teaser,59,20,10,PT24S,24.0,325758,25106,165,4327
73,oUJEhi0Y8oc,US,GOODBYE SEASON 5!,17,20,12,PT12M59S,779.0,1788490,90452,653,9524
74,krcpG_0oZVM,US,100 Drops - [Salty Towers],26,20,24,PT30M1S,1801.0,888202,66790,1879,8872
75,g8HyyDEqhEg,US,93rd Oscars Nominations,23,22,0,PT21M,1260.0,450964,15218,645,1930
76,wAUOFiwkN3g,US,I created my *OWN* Fortnite LIVE EVENT! (Agent Jones),53,20,20,PT8M17S,497.0,590683,24499,673,1697
77,lxkNQZO8hOc,US,What Happened to My Nail,24,24,20,PT13M14S,794.0,938999,58424,722,2369
78,tm19P1PMHtA,US,Diego at the Bank | Awkward Puppets,35,23,27,PT3M6S,186.0,204338,17598,139,1020
79,fyWzjhiIvVI,US,THE BEST TRES LECHES CAKE!,26,26,0,PT12M19S,739.0,277029,19132,170,844
80,Q88P1gpOJxA,US,ROSÉ - 'On The Ground' 0314 SBS Inkigayo,40,10,24,PT2M52S,172.0,13812891,1650238,21124,74481
81,f608cdyV_Ow,US,Rocket League pros try to guess ranks of every day players,58,20,12,PT16M2S,962.0,596140,34621,222,4314
82,OzSj4w-e_d8,US,Lil Baby - Behind The Scenes of “The Bigger Picture” at The 63rd GRAMMYs,72,24,0,PT3M11S,191.0,230461,13459,636,919
83,gRKdW2bX0UY,US,"Best Moments from the 2021 Grammy Awards - Megan Thee Stallion, BTS, Cardi B and More",85,24,19,PT10M4S,604.0,132398,1600,352,372
84,fjp4thii1WY,US,ROSÉ - 'Gone' 0314 SBS Inkigayo,31,10,24,PT1M57S,117.0,8081537,1201473,8374,45210
85,9mBWZYKP2ro,US,Taylor Swift Wins Album Of The Year | 2021 GRAMMY Awards Show Acceptance Speech,79,10,18,PT3M29S,209.0,2723849,134780,7331,9334
86,Tx8cTShiylQ,US,Goodbye.,8,10,0,PT9M5S,545.0,265577,32817,291,2369
87,WkUw8mHWfLU,US,"Whitty V.S Boyfriend in Friday Night Funkin' VR - (VRChat Rap Battle: Lo-Fight, Ballistic)",90,20,26,PT13M44S,824.0,821117,33779,789,4042
88,oQLhf8ILwQo,US,Harry Styles Opens the 2021 Grammy Awards With Sultry ‘Watermelon Sugar’,72,24,5,PT28S,28.0,171023,4348,151,260
89,CpO4w3nb7zI,US,Disney’s Cruella | Sneak Peek,29,1,0,PT1M1S,61.0,454631,14705,601,1199
90,rssTuxaqGAo,US,dying my hair a NATURAL COLOR for the first time in 5 YEARS + reactions!! (hair transformation),95,22,15,PT12M48S,768.0,323337,27286,181,2765
91,zNjHov_yrd0,US,Can I Save The Sidemen's Shots at My Car?,41,24,5,PT9M10S,550.0,1426722,128897,1183,2546
92,LetOGJlfCbA,US,STOCK BOX Doll Customizing: Luna the abandoned moth doll from before!,69,26,23,PT19M31S,1171.0,575565,63527,465,5621
93,aVkeMFEQuzc,US,Friday Night Funkin' ANIME DUEL (Animation)  🎤,46,1,0,PT3M7S,187.0,536112,45076,350,4217
94,JwDCYZiphCA,US,Sad Among Us Animation,22,20,0,PT12M2S,722.0,589394,33256,900,2050
95,_5SpM-QcccU,US,THIS YOUTUBER CHALLENGE UNCLE ROGER (Joshua Weissman),53,23,3,PT13M24S,804.0,1205578,81153,749,4941
96,5Fg-KJ6f7_Y,US,What is this cute puppy dog doing?#Shorts,41,15,0,PT17S,17.0,530302,0,0,187
97,5ejYOpVquMg,US,Jawbreaker Nails (I drilled my nail),36,24,22,PT14M41S,881.0,1778781,98365,1180,4006
98,AKBF-jeOlD8,US,Saying Goodbye...,17,26,5,PT11M24S,684.0,4133888,117148,37651,22000
99,EyURYSTf0rM,US,I Survived 400 Days in HARDCORE Minecraft...,44,20,15,PT32M59S,1979.0,1903080,49652,1364,6177
100,59bdEkTLvBs,FR,SCH - Loup Noir | A COLORS SHOW,31,10,15,PT2M58S,178.0,823612,110444,454,3999
101,e0BSa2vWgQE,FR,Mcfly adopte des chatons abandonnés. C’est un héros (c’est lui qui a choisi le titre).,86,22,0,PT12M26S,746.0,1859356,173553,2779,5463
102,_RMCvqtmutk,FR,JE TESTE MAEVA GHENNAM BEAUTY #2,32,24,6,PT23M2S,1382.0,998875,79378,643,2022
103,FnZXdQlXkgk,FR,Hi!,3,23,10,PT2M1S,121.0,1227879,162523,4413,10775
104,PBZlYDQWbGs,FR,Masque en voiture,17,23,0,PT4M24S,264.0,157459,15106,141,476
105,vFWv44Z4Jhk,FR,Dua Lipa - Levitating ft. DaBaby / Don't Start Now (Live at the GRAMMYs 2021),77,10,16,PT5M5S,305.0,9792287,633186,10098,24214
106,uPQHQRU7YDA,FR,ON REÇOIT UNE STAR DE LA TÉLÉ !,31,23,11,PT12M24S,744.0,156963,20209,77,600
107,zKiSqY6i6E0,FR,BOUCIF - La Graillance,22,24,12,PT11M1S,661.0,281597,14033,169,744
108,uvYzgUPyNEs,FR,LYNDA - SI TU M'AIMES 2  (CLIP OFFICIEL),40,22,0,PT4M3S,243.0,81394,8519,54,439
109,oo3eChiwmBQ,FR,BABY STORY (ÉPISODE 1): LA GROSSESSE DIFFICILE DE BARBARA OPSOMER,65,24,15,PT37M49S,2269.0,400096,16451,281,608
110,TcUSeNjrzFU,FR,ON ACCOSTE DES GENS EN VOITURE Feat @JOYCA,42,23,12,PT19M50S,1190.0,1657238,197086,892,4024
111,dycgOyYhPEQ,FR,J'ESSAIE DE TOUT DÉBLOQUER AVANT LA FIN DE LA SAISON 5 !,56,27,39,PT16M49S,1009.0,98824,9046,69,411
112,xSjhS6iFyv4,FR,La guerre en Ukraine,20,24,6,PT30M21S,1821.0,915140,165407,771,10148
113,OZPmCOluhGg,FR,Les origines de la Grande Muraille de Chine,43,27,9,PT27M41S,1661.0,170936,11824,182,596
114,5trdjEb3BkY,FR,"🇪🇸 Résumé - LaLiga : Un Messi record régale, le Barça revient bien",66,17,12,PT5M29S,329.0,370172,12895,128,1415
115,VWjlam0djN0,FR,"Situation critique et menace de confinement, v🅰️ccin Astrazeneca suspendu… Actus du jour",88,25,0,PT11M27S,687.0,291213,16601,309,1542
116,n4EOjaRdXZI,FR,ILS ONT REUSSI À ÉNERVER DANIELLE,33,23,0,PT9M24S,564.0,185933,18780,139,648
117,9ntdR7PsEJk,FR,HOUSE TOUR!! Notre nouvelle maison!,35,26,9,PT18M49S,1129.0,261025,26915,151,1295
118,aVAKT9UxJMI,FR,Billie Eilish - everything i wanted (Live From The 63rd GRAMMYs®/2021),70,10,9,PT3M40S,220.0,2244250,297572,2106,22085
119,Olv0E14SSws,FR,ÊTES-VOUS VRAIMENT DES ANNÉES 2000 ? TEST ULTIME ! 😏,53,24,0,PT13M36S,816.0,351401,31750,296,798
